9	Irrational	He could be the next Olympian
7	Kind	Endless balloon shapes for good children
30	Gentle	I want to plant lots of trees without permission. I need to bring oxygen to peoples lungs.
26	Lazy	I wish I could be like those characters on the wall!
7	Kind	I should get some flowers for my wife.
10	Energetic	I bet that car is SUPER FAST!
2	Sarcastic	I don't think she could look anymore cool.
9	Irrational	Were they just talking about me?
9	Irrational	THIS IS A CUTE LITTLE BABY EATING TOYS
22	Miserable	This seems like a terrible idea. Why hide behind a palm tree when so many bugs can fall on you? And to be wearing flip flops in this grass....why? Ants could bite you. This all makes me feel bad.
21	Humorous	I reminds me of a cake, lets eat it!
14	Calm	She looks so at peace.
30	Gentle	This view would lull me to sweet dreams.
18	Optimistic	These skyscrapers show how fast we are developing.
7	Kind	this picture makes my heart happy! thank you
22	Miserable	They look eager to leave, boring meeting.
16	Silly	If I was in that parade, I'd be wearing a clown costume!
26	Lazy	I wish I could sit in that water and stay there forever and do nothing.
28	Dull	No shine , no colors , nothing to catch the perceptive eye.
20	Logical	Well, there is water and a cup, so I don't imagine we will get wet.
10	Energetic	Seeing the monument made it so exciting.
20	Logical	Well, I suppose this dentures help this woman feel better about herself.
5	Imaginative	This should be the tallest building in town
3	Eloquent (Well-spoken, Expressive)	This is such a lovely color.
3	Eloquent (Well-spoken, Expressive)	The leaves look like embers in a well stoked fire.
27	Mystical	Takes you away. Could be another dimension, another planet
33	Childish	I don't want to ride on the boat! I want to go to the beack
21	Humorous	What a perfect spot to push someone in the water
9	Irrational	these flowers will just wilt
33	Childish	Choo choo! Love me a train ride!
32	Fanatical	Those clouds simply can't be real, I don't believe it!
33	Childish	Can these two just stop yelling and kiss!
0	Adventurous	could be gray could be green, lets jump in and find out
14	Calm	Its so simple and peaceful here in the kitchen
34	Emotional	Both people look so happy and content to be on stage strutting their stuff.
34	Emotional	They're making a mess of the my parents' house and I don't know how to stop them!
32	Fanatical	Red doors should NOT exist!! BAN THEM.
29	Brilliant	This sport is one that builds resilience, focus, determination, and poise.
